2019-08-06	¿ÀÀü 9:27
Function	Cp-Q
Auto Range	Enabled
Manual Impedance Range	100	Ohms
Signal Frequency	1000.000000	Hz
Signal Type	Voltage
Signal Level	1.000000
Measurement Time	Medium
Averaging Factor	1.000000
Sampling Rate	5.000000	Hz
Cp	Q
1.513090E-11	433.830000
1.513440E-11	468.906000
1.512730E-11	364.221000
1.512060E-11	412.448000
1.512520E-11	413.651000
1.512810E-11	481.307000
1.511640E-11	388.491000
1.512730E-11	600.794000
1.513320E-11	593.907000
1.513220E-11	458.360000
1.513070E-11	573.864000
1.512500E-11	394.922000
1.512790E-11	419.273000
1.512800E-11	392.851000
1.513750E-11	602.401000
1.512640E-11	390.639000
1.512650E-11	361.563000
1.512420E-11	606.083000
1.511970E-11	454.565000
1.512200E-11	397.073000
1.511910E-11	534.188000
1.513030E-11	630.596000
1.512710E-11	577.153000
1.512180E-11	428.232000
1.512520E-11	417.873000
1.513240E-11	459.138000
1.512840E-11	364.485000
1.512460E-11	379.366000
1.513530E-11	427.898000
1.513080E-11	688.474000
1.512350E-11	519.898000
1.512760E-11	715.836000
1.512000E-11	418.368000
1.512640E-11	508.638000
1.513480E-11	676.634000
1.513040E-11	479.234000
1.513800E-11	433.415000
1.513680E-11	476.248000
1.512630E-11	602.950000
1.512110E-11	400.835000
1.513270E-11	403.676000
1.513300E-11	418.555000
1.513390E-11	418.451000
1.512160E-11	616.206000
1.513420E-11	536.492000
1.513180E-11	610.035000
1.512840E-11	612.273000
1.511670E-11	439.684000
1.513140E-11	386.966000
1.511440E-11	426.805000
1.513200E-11	373.409000
1.512030E-11	379.876000
1.511930E-11	576.650000
1.511230E-11	538.259000
1.511670E-11	566.764000
1.511680E-11	400.585000
1.510410E-11	665.616000
1.510970E-11	453.368000
1.511350E-11	626.513000
1.510970E-11	445.499000
1.511090E-11	419.933000
1.510080E-11	420.936000
1.509670E-11	647.006000
1.508590E-11	652.303000
1.508840E-11	424.552000
1.509860E-11	402.619000
1.509840E-11	740.829000
1.510860E-11	466.591000
1.510850E-11	545.279000
1.511080E-11	586.813000
1.510050E-11	459.317000
1.509690E-11	386.583000
1.510130E-11	524.436000
1.511030E-11	427.701000
1.509650E-11	517.024000
1.510980E-11	537.341000
1.510140E-11	538.526000
1.510190E-11	498.539000
1.510350E-11	442.534000
1.511740E-11	450.908000
1.510580E-11	427.612000
1.510280E-11	425.898000
1.510950E-11	403.955000
1.510990E-11	544.767000
1.510380E-11	540.576000
1.511190E-11	530.435000
1.510560E-11	399.639000
1.511220E-11	591.923000
1.511080E-11	553.625000
1.511410E-11	438.744000
1.511900E-11	497.236000
1.512000E-11	555.333000
1.511290E-11	469.359000
1.510080E-11	451.892000
1.510280E-11	480.111000
1.510170E-11	404.700000
1.510910E-11	397.154000
1.511340E-11	566.254000
1.511810E-11	538.501000
1.511560E-11	410.239000
1.511660E-11	495.599000
1.511170E-11	488.996000
1.511630E-11	420.495000
1.511270E-11	459.652000
1.513150E-11	390.895000
1.512490E-11	478.120000
1.512090E-11	572.309000
1.512540E-11	511.145000
1.512920E-11	752.717000
1.512160E-11	756.931000
1.512700E-11	501.292000
1.512210E-11	400.414000
1.513140E-11	440.738000
1.513140E-11	575.302000
1.512700E-11	598.675000
1.512270E-11	522.504000
1.512470E-11	633.557000
1.512890E-11	605.814000
1.512480E-11	686.003000
1.512240E-11	388.786000
1.513320E-11	432.862000
1.511810E-11	401.230000
1.513440E-11	428.207000
1.512830E-11	534.163000
1.511930E-11	473.098000
1.512140E-11	522.768000
1.512100E-11	503.899000
1.512320E-11	577.555000
1.513120E-11	587.891000
1.512950E-11	380.195000
1.513250E-11	528.255000
1.512890E-11	682.164000
1.512620E-11	621.020000
1.513380E-11	457.043000
1.512310E-11	767.864000
1.512130E-11	624.153000
1.511230E-11	598.586000
1.510760E-11	375.061000
1.512090E-11	475.364000
1.509870E-11	457.972000
1.511350E-11	528.779000
1.512830E-11	374.787000
1.512010E-11	487.262000
1.511400E-11	556.373000
1.511430E-11	505.904000
1.510940E-11	480.413000
1.511800E-11	588.063000
1.511530E-11	434.924000
1.512860E-11	487.088000
1.512120E-11	523.686000
1.512470E-11	572.848000
1.510430E-11	388.333000
1.510340E-11	576.361000
1.510980E-11	648.347000
1.511250E-11	504.610000
1.510500E-11	417.538000
1.511000E-11	429.716000
1.510740E-11	404.107000
1.510550E-11	578.774000
1.510440E-11	390.951000
1.509950E-11	421.450000
1.509990E-11	609.652000
1.509920E-11	498.772000
1.509590E-11	423.388000
1.510310E-11	652.828000
1.510880E-11	581.274000
1.510550E-11	576.953000
1.510330E-11	511.889000
1.510470E-11	466.315000
1.510730E-11	550.212000
1.509940E-11	399.913000
1.510430E-11	501.010000
1.510200E-11	422.877000
1.511660E-11	474.149000
1.511260E-11	574.752000
1.511360E-11	529.275000
1.509660E-11	548.251000
1.510520E-11	339.388000
1.511670E-11	458.227000
1.510670E-11	661.821000
1.511260E-11	356.618000
1.511360E-11	398.407000
1.510560E-11	405.659000
1.509730E-11	582.765000
1.510340E-11	357.745000
1.511010E-11	409.425000
1.511500E-11	401.805000
1.510320E-11	382.090000
1.511810E-11	381.358000
1.511550E-11	421.860000
1.511300E-11	477.741000
1.510030E-11	596.591000
1.510810E-11	374.745000
1.509820E-11	566.142000
1.510640E-11	355.618000
1.511070E-11	513.161000
1.510950E-11	616.977000
1.510960E-11	640.546000
1.510920E-11	556.896000
1.510580E-11	598.672000
1.510790E-11	643.442000
1.510160E-11	360.855000
1.511510E-11	525.498000
1.511510E-11	585.296000
1.510720E-11	619.929000
1.510000E-11	457.833000
1.510670E-11	713.876000
1.510000E-11	562.345000
1.508650E-11	485.363000
1.509790E-11	349.142000
1.511020E-11	614.973000
1.509340E-11	383.682000
1.510770E-11	453.055000
1.511210E-11	369.861000
1.510010E-11	419.497000
1.509970E-11	538.356000
1.510130E-11	557.838000
1.508960E-11	456.361000
1.508650E-11	590.696000
1.510040E-11	453.434000
1.509920E-11	633.387000
1.509370E-11	619.548000
1.509690E-11	487.822000
1.510420E-11	385.855000
1.510060E-11	447.385000
1.509170E-11	449.129000
1.510610E-11	552.093000
1.511050E-11	406.575000
1.510400E-11	550.125000
1.510910E-11	461.936000
1.509620E-11	518.000000
1.510450E-11	580.326000
1.509730E-11	429.610000
1.508960E-11	531.236000
1.509730E-11	363.840000
1.509670E-11	382.740000
1.508370E-11	445.365000
1.508080E-11	473.007000
1.554150E-11	351.339000
1.570270E-11	423.497000
1.573060E-11	367.318000
1.574760E-11	310.631000
1.574850E-11	303.112000
1.575070E-11	289.693000
1.575810E-11	283.559000
1.575260E-11	338.603000
1.575150E-11	300.504000
1.574880E-11	359.905000
1.574950E-11	260.593000
1.575470E-11	345.520000
1.575410E-11	371.324000
1.575740E-11	319.981000
