2019-08-06	¿ÀÀü 9:49
Function	Cp-Q
Auto Range	Enabled
Manual Impedance Range	100	Ohms
Signal Frequency	1000.000000	Hz
Signal Type	Voltage
Signal Level	1.000000
Measurement Time	Medium
Averaging Factor	1.000000
Sampling Rate	5.000000	Hz
Cp	Q
1.459880E-11	63.194300
1.459240E-11	63.263700
1.459960E-11	61.690100
1.459380E-11	62.824300
1.460220E-11	62.220000
1.459230E-11	60.059700
1.459260E-11	62.218700
1.459480E-11	61.223800
1.459830E-11	63.716800
1.459200E-11	60.240200
1.459590E-11	60.668700
1.457690E-11	63.569900
1.459330E-11	61.916700
1.459660E-11	59.331200
1.460190E-11	59.528700
1.459160E-11	60.314400
1.459010E-11	61.596200
1.459730E-11	62.596500
1.459420E-11	61.076100
1.460040E-11	59.850500
1.460220E-11	64.936800
1.460310E-11	61.179600
1.459500E-11	62.265800
1.460270E-11	58.998900
1.460150E-11	60.509200
1.459940E-11	59.142700
1.459610E-11	60.030400
1.460190E-11	60.864800
1.460440E-11	61.143500
1.460230E-11	59.202600
1.460020E-11	59.258700
1.459480E-11	62.470500
1.459460E-11	60.415400
1.460800E-11	62.145200
1.459900E-11	60.734600
1.459890E-11	59.793600
1.460550E-11	60.728200
1.459560E-11	60.084900
1.459380E-11	61.592700
1.460190E-11	59.839200
1.460150E-11	59.691400
1.459900E-11	64.329500
1.460360E-11	63.435200
1.460890E-11	62.519700
1.460390E-11	60.337200
1.459620E-11	64.210900
1.459630E-11	64.629100
1.460280E-11	62.719600
1.460640E-11	61.513000
1.459920E-11	63.064100
1.459310E-11	61.894700
1.459430E-11	60.099400
1.460420E-11	63.220400
1.460220E-11	60.363500
1.460410E-11	63.588100
1.459210E-11	62.546700
1.459510E-11	58.982100
1.460500E-11	62.664400
1.460630E-11	61.311600
1.459580E-11	61.268900
1.458980E-11	61.155900
1.460010E-11	63.115600
1.460030E-11	60.757700
1.459660E-11	62.103000
1.459290E-11	60.702600
1.459060E-11	63.116600
1.459770E-11	64.918800
1.459590E-11	60.187000
1.459480E-11	59.424000
1.460320E-11	60.520900
1.460080E-11	60.172000
1.459360E-11	63.135900
1.458570E-11	62.411300
1.459160E-11	60.642800
1.460140E-11	63.421900
1.458960E-11	61.269200
1.459210E-11	63.460900
1.460190E-11	59.511600
1.459790E-11	59.399900
1.459320E-11	59.720800
1.459450E-11	59.932800
1.459970E-11	59.597300
1.460460E-11	60.188000
1.459810E-11	61.997400
1.459260E-11	59.854600
1.458920E-11	62.860700
1.458970E-11	60.848000
1.460970E-11	60.157500
1.459840E-11	61.131700
1.459420E-11	60.270900
1.459660E-11	60.465700
1.460260E-11	61.802800
1.459420E-11	61.210200
1.459440E-11	60.335100
1.459560E-11	59.663000
1.459900E-11	63.663500
1.459380E-11	59.888900
1.460560E-11	61.362800
1.460170E-11	58.537400
1.459960E-11	63.771700
1.459740E-11	62.515400
1.460670E-11	63.702400
1.460060E-11	61.324100
1.459780E-11	60.446800
1.460030E-11	60.722800
1.459640E-11	59.552700
1.460620E-11	62.824900
1.460670E-11	60.640300
1.460290E-11	62.506800
1.458910E-11	63.318800
1.459880E-11	59.235300
1.460350E-11	63.463400
1.460790E-11	61.107900
1.458990E-11	62.207400
1.459450E-11	62.458400
1.459710E-11	63.690400
1.460470E-11	61.992800
1.459470E-11	62.093100
1.459160E-11	62.068700
1.459410E-11	61.421000
1.459550E-11	63.390600
1.459470E-11	59.995300
1.459530E-11	60.882900
1.459940E-11	59.936900
1.460030E-11	61.505600
1.459860E-11	63.408800
1.459910E-11	60.406200
1.459560E-11	60.590100
1.460820E-11	61.333600
1.461410E-11	62.438000
1.459590E-11	61.871500
1.461160E-11	59.256700
1.459860E-11	60.290000
1.460040E-11	59.918600
1.460650E-11	62.606400
1.460580E-11	58.903200
1.460990E-11	59.369400
1.459530E-11	60.612900
1.460180E-11	61.247600
1.461140E-11	59.685600
1.461450E-11	62.001800
1.461100E-11	60.281000
1.460290E-11	59.144100
1.460050E-11	61.406500
1.460090E-11	59.245300
1.461310E-11	59.632600
1.460810E-11	63.334100
1.460410E-11	59.103200
1.460230E-11	61.303600
1.460740E-11	61.787400
1.461120E-11	60.892800
1.460210E-11	59.122700
1.460260E-11	58.856000
1.460210E-11	62.426100
1.459510E-11	62.715800
1.460030E-11	62.052900
1.459120E-11	59.450200
1.458380E-11	61.690000
1.459040E-11	61.025300
1.459720E-11	62.306800
1.460330E-11	61.359100
1.459380E-11	59.599600
1.460330E-11	60.824600
1.459490E-11	63.129900
1.458080E-11	60.491000
1.458960E-11	62.360900
1.459220E-11	59.831600
1.459650E-11	64.401100
1.459560E-11	62.679000
1.459830E-11	62.219200
1.459260E-11	60.317300
1.459510E-11	63.305600
1.444710E-11	-241.980000
1.458780E-11	66.967500
1.460150E-11	63.937700
1.460610E-11	61.478100
1.462040E-11	60.213600
1.461400E-11	59.145600
1.463740E-11	56.707100
1.464070E-11	55.426100
1.463610E-11	55.742800
1.463880E-11	56.369400
1.463490E-11	54.902900
1.464400E-11	55.968700
1.464520E-11	54.088000
1.464110E-11	56.994700
1.464740E-11	56.122100
1.465010E-11	56.026800
1.464750E-11	54.921300
1.464670E-11	57.362200
1.466380E-11	57.571300
1.465700E-11	55.195300
1.465600E-11	55.703300
1.465240E-11	57.018000
1.464690E-11	57.351500
1.464700E-11	55.410100
1.465790E-11	55.963900
1.465570E-11	54.798700
1.466430E-11	54.550700
1.465220E-11	57.127000
1.464810E-11	54.186300
1.466480E-11	54.736300
1.465660E-11	53.786500
1.465350E-11	55.787100
1.465450E-11	53.993800
1.465980E-11	54.651400
1.465290E-11	55.957900
1.466980E-11	56.626300
1.466210E-11	56.509500
1.466230E-11	54.120200
1.467060E-11	53.282600
1.466370E-11	56.745900
1.466200E-11	56.321800
1.466110E-11	53.018500
1.467090E-11	56.419100
1.467640E-11	53.383400
1.468130E-11	54.829500
1.467430E-11	56.053300
1.466840E-11	51.871200
1.467880E-11	54.219600
1.468110E-11	52.422400
1.467140E-11	56.217500
1.467480E-11	56.291100
1.468150E-11	55.019500
1.468320E-11	54.060400
1.467940E-11	55.636300
1.467430E-11	55.623200
1.467790E-11	54.060400
1.468410E-11	53.446300
1.467690E-11	55.122900
1.467820E-11	55.177400
1.467200E-11	54.335500
